lexema                         tkn    pos    lin
---------------------------  -----  -----  -----
programa                        -1     -1      1
areaRectamgulo@                -94     -2      1
{                              -58     -1      1
var                            -12     -1      2
base%                          -92     -2      2
;                              -51     -1      2
var                            -12     -1      3
altura%                        -92     -2      3
;                              -51     -1      3
var                            -12     -1      4
area%                          -92     -2      4
;                              -51     -1      4
leer                            -3     -1      5
(                              -56     -1      5
base%                          -92     -2      5
)                              -57     -1      5
;                              -51     -1      5
leer                            -3     -1      6
(                              -56     -1      6
altura%                        -92     -2      6
)                              -57     -1      6
;                              -51     -1      6
area%                          -92     -2      8
=                              -26     -1      8
base%                          -92     -2      8
*                              -21     -1      8
altura%                        -92     -2      8
;                              -51     -1      8
escribir                        -8     -1      9
(                              -56     -1      9
"El_area_del_rectangulo_es"    -95     -1      9
)                              -57     -1      9
;                              -51     -1      9
escribir                        -8     -1     10
(                              -56     -1     10
area%                          -92     -2     10
)                              -57     -1     10
;                              -51     -1     10
}                              -59     -1     11
