lexema          tkn    pos    lin
------------  -----  -----  -----
programa         -1     -1      1
miPrograma@     -94     -2      1
{               -58     -1      1
var             -12     -1      2
a&              -91     -2      2
=               -26     -1      2
12345           -97     -1      2
var             -12     -1      3
b%              -92     -2      3
=               -26     -1      3
3.14            -98     -1      3
var             -12     -1      4
mensaje$        -93     -2      4
=               -26     -1      4
"Hola!"         -95     -1      4
funcion          -6     -1      6
suma@           -94     -2      6
(               -56     -1      6
x&              -91     -2      6
,               -54     -1      6
y&              -91     -2      6
)               -57     -1      6
{               -58     -1      6
regresar        -10     -1      7
x&              -91     -2      7
+               -24     -1      7
y&              -91     -2      7
}               -59     -1      8
leer             -3     -1     10
(               -56     -1     10
a&              -91     -2     10
)               -57     -1     10
escribir         -8     -1     11
(               -56     -1     11
"Valor:"        -95     -1     11
,               -54     -1     11
a&              -91     -2     11
)               -57     -1     11
si              -13     -1     12
(               -56     -1     12
a&              -91     -2     12
>               -33     -1     12
0               -97     -1     12
)               -57     -1     12
{               -58     -1     12
escribir         -8     -1     13
(               -56     -1     13
"Positivo"      -95     -1     13
)               -57     -1     13
}               -59     -1     14
sino            -17     -1     14
{               -58     -1     14
escribir         -8     -1     15
(               -56     -1     15
"Negativo"      -95     -1     15
)               -57     -1     15
}               -59     -1     16
mientras         -9     -1     18
(               -56     -1     18
a&              -91     -2     18
<=              -32     -1     18
100             -97     -1     18
)               -57     -1     18
{               -58     -1     18
a&              -91     -2     19
=               -26     -1     19
a&              -91     -2     19
+               -24     -1     19
1               -97     -1     19
escribir         -8     -1     20
(               -56     -1     20
a&              -91     -2     20
)               -57     -1     20
}               -59     -1     21
encaso          -14     -1     23
(               -56     -1     23
a&              -91     -2     23
)               -57     -1     23
{               -58     -1     23
caso            -18     -1     24
1               -97     -1     24
:               -55     -1     24
escribir         -8     -1     25
(               -56     -1     25
"Uno"           -95     -1     25
)               -57     -1     25
haz              -4     -1     26
caso            -18     -1     27
2               -97     -1     27
:               -55     -1     27
escribir         -8     -1     28
(               -56     -1     28
"Dos"           -95     -1     28
)               -57     -1     28
haz              -4     -1     29
default          -5     -1     30
:               -55     -1     30
escribir         -8     -1     31
(               -56     -1     31
"Otro"          -95     -1     31
)               -57     -1     31
haz              -4     -1     32
}               -59     -1     33
var             -12     -1     35
resultado&      -91     -2     35
=               -26     -1     35
suma@           -94     -2     35
(               -56     -1     35
10              -97     -1     35
,               -54     -1     35
20              -97     -1     35
)               -57     -1     35
escribir         -8     -1     36
(               -56     -1     36
"Resultado:"    -95     -1     36
,               -54     -1     36
resultado&      -91     -2     36
)               -57     -1     36
//Comentario    -96     -1     38
}               -59     -1     39
